STRUC_Easting,STRUC_Northing,STRUC_Elevation,Leapfrog Dip,Leapfrog Dip Direction,Mute Flag
9232.2,5987,3932.67,41.225,62.666,M
9230.79,5986.86,3931.65,34.618,49.713,M
9223.05,5986.05,3925.78,33.347,77.801,M
9219.16,5985.64,3922.82,32.654,83.934,M
9218.45,5985.57,3922.28,37.607,83.921,M
9216.62,5985.37,3920.89,34.192,71.874,1
9210.42,5984.7,3916.05,42.072,83.775,3
9207.33,5984.36,3913.61,41.132,60.246,3
9205.73,5984.18,3912.34,53.875,52.282,1
9204.01,5983.99,3910.98,41.802,82.385,M
9202.34,5983.81,3909.65,39.227,52.883,M
9201.36,5983.7,3908.87,41.048,68.994,M
9201.2,5983.68,3908.75,43.184,66.828,M
9199.64,5983.51,3907.51,35.406,66.491,M
9198.51,5983.38,3906.62,31.656,83.652,1
9196.6,5983.17,3905.09,32.064,77.217,1
9195.01,5982.99,3903.82,25.015,59.776,M
9193.1,5982.78,3902.29,37.717,75.299,1
9190.77,5982.52,3900.42,36.514,83.605,1
9189.21,5982.34,3899.18,36.437,64.258,M
9186.26,5982.01,3896.81,41.544,80.729,3
9183.26,5981.68,3894.42,36.333,85.303,3
9172.2,5980.24,3885.39,43.521,73.437,M
9171.89,5980.2,3885.14,41.778,57.912,1
9171.05,5980.09,3884.45,34.552,65.266,1
9169.08,5979.84,3882.84,30.988,58.669,3
9167.63,5979.67,3881.63,35.648,63.294,1
9167.21,5979.62,3881.28,37.421,72.612,M
9161.43,5978.93,3876.47,49.433,63.595,3
9160.21,5978.78,3875.45,46.44,56.872,1
9253.5,5992.57,3930.3,48.85,69.929,M
9246.51,5993.46,3918.2,47.158,78.784,M
9245.56,5993.58,3916.56,51.688,75.722,3
9239.05,5994.11,3905.38,37.839,71.397,3
9231.72,5994.85,3892.66,52.215,78.935,1
9227.05,5995.43,3884.47,39.277,76.264,1
9225.15,5995.66,3881.12,51.203,76.601,1
9220.88,5996.18,3873.56,39.107,76.188,M
9220.17,5996.27,3872.3,46.862,66.905,M
9217.23,5996.63,3867.08,46.839,66.92,M
9214.59,5996.96,3862.38,52.261,65.868,M
9210.87,5997.42,3855.77,38.113,74.759,M
9207.04,5997.9,3848.94,40.639,66.457,M
9203.73,5998.2,3843.12,54.84,69.362,M
9202.61,5998.28,3841.17,48.284,67.007,1
9198.98,5998.56,3834.84,51.092,60.895,1
9193.63,5999.04,3825.36,52.112,64.325,3
9188.73,5999.55,3816.54,50.058,49.019,M
9186.59,5999.78,3812.7,46.635,64.453,M
9256.52,5955.8,3953.96,49.129,134.801,1
9241.56,5956.74,3945.31,66.436,65.573,M
9213.72,5957.62,3928.18,49.929,68.777,M
9212.79,5957.65,3927.6,44.634,64.05,1
9197.58,5957.9,3917.98,28.059,101.383,1
9194.2,5957.95,3915.83,22.537,55.705,3
9189.95,5957.99,3913.02,33.157,63.455,M
9181.54,5958.08,3907.43,26.212,90.53,3
9177.96,5958.12,3905.05,31.04,90.466,M
9175.43,5958.14,3903.34,46.183,53.542,M
9157.36,5958.22,3890.89,36.588,78.783,3
9152.47,5958.22,3887.41,35.594,81.267,3
9143.83,5958.22,3881.27,57.855,60.193,1
9143.01,5958.22,3880.69,59.802,60.999,M
9120.81,5958.34,3864.13,39.231,70.055,3
9249.13,5952.27,3908.68,37.07,74.371,M
9238.01,5950.79,3881.8,43.881,107.255,M
9235.3,5950.39,3875.26,40.141,131.009,M
9233.18,5950.04,3870.19,37.797,85.024,1
9225.79,5948.77,3852.55,32.845,84.371,1
9223.51,5948.34,3847.12,56.684,96.306,3
9223.21,5948.29,3846.39,48.074,82.269,M
9220.93,5947.86,3840.95,42.467,89.324,M
9217.6,5947.23,3833.06,47.415,90.546,3
9213.07,5946.36,3822.28,37.54,89.493,3
9211.17,5946,3817.87,33.443,82.266,M
9209.99,5945.77,3815.14,42.985,123.338,M
9250.83,5926.4,3912.42,61.592,84.335,3
9250.52,5926.2,3911.65,40.177,48.443,3
9249.58,5925.57,3909.31,50.781,57.459,M
9249,5925.19,3907.87,35.255,62.863,3
9247.95,5924.49,3905.26,35.6,79.081,3
9241.47,5920.22,3889.3,35.291,63.986,M
